Quận;Tên hồ, ao, đầm, phá;Vị trí, địa điểm (xã/phường);Diện tích (m2);Chức năng;Đơn vị quản lý
Liên Chiểu;Các ao, hồ, đầm, phá có nguồn gốc tự nhiên khác được giao cho các tổ chức, cá nhân khác, sử dụng;;;;
Cẩm Lệ;Hồ điều tiết khu dân cư Hoà Thọ;Phường Hoà Thọ Đông (Các đường: Nguyễn Phước Tần, Nguyễn Hàng, Triệu Quốc Đạt, Lê Kim Lăng);22.336;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;Sở Xây dựng
Cẩm Lệ;Hồ điều tiết khu TĐC Bắc nút giao thông Hoà Cầm (Green lake);Phường Hoà Thọ Đông (Đường Phạm Viết Chánh và Bàu Gia Thượng 4);300.96;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;Sở Xây dựng
Cẩm Lệ;Hồ điều tiết khu dân cư Phong Bắc 2;Phường Hoà Thọ Đông (Các đường: Nguyễn Thế Lịch, Trần Quý Hai, Trần Văn Lan);5156;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;BQL dự án đầu tư xây dựng hạ tầng và phát triển đô thị Đà Nẵng
Cẩm Lệ;Hồ điều tiết E1;Phường Hòa Xuân (Đường Văn Tiến Dũng);1429,5;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;Sở Xây dựng (Công ty TN&XLNT Đà Nẵng)
Cẩm Lệ;Hồ điều tiết E2;Phường Hòa Xuân (Đường Văn Tiến Dũng);32.669;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;Công ty TN&XLNT Đà Nẵng
Cẩm Lệ;Hồ điều tiết E2 mở rộng;Phường Hòa Xuân (Đường Đô Đốc Lân);11.555;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;Công ty TN&XLNT Đà Nẵng
Cẩm Lệ;Hồ điều tiết khu C;Phường Hòa Xuân (Đường Phạm Hùng);29.730;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;Công ty TN&XLNT Đà Nẵng
Cẩm Lệ;Đầm Bàu Gia Thượng;Phường Hòa Phát (Khu dân cư Đông Phước);50.000;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;UBND quận Liên Chiểu
Cẩm Lệ;Các ao, hồ, đầm, phá có nguồn gốc tự nhiên khác được giao cho các tổ chức, cá nhân khai thác, sử dụng;;;;
