Tên;Địa chỉ;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Chiều cao;Kết cấu;Cấp công trình;Chất lượng;Sức chứa;Hình ảnh
Trường TH Hoàng Dư Khương;Phong Bắc 20;Cẩm Lệ;Hòa Thọ Đông;16.008536972204915;108.1936270552225;02 tầng;BTCT;3;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-phongbac20.jpg
Trường THCS Nguyễn Văn Linh;02 Trần Ngọc Sương;Cẩm Lệ;Hòa Thọ Đông;16.00655283391826;108.19420129030136;02 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-02tranngocsuong.jpg
Trường THPT Cẩm Lệ;02 Nguyễn Thế Lịch;Cẩm Lệ;Hòa Thọ Đông;16.008249471684955;108.19546621652859;02 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-02nguyenthelich.jpg
Trường MN Bình Minh(cơ sở mới);82 Nguyễn Đức Thiệu;Cẩm Lệ;Hòa Thọ Đông;16.00915718177268;108.20058822918787;02 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-82nguyenducthieu.jpg
Trường TH Trần Nhân Tông(cũ);24 Bình Thái 1;Cẩm Lệ;Hòa Thọ Đông;16.014288859924196;108.20346638947;02 tầng;BTCT;3;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-24binhthai1.jpg
Trung tâm VHTT phường Hòa Thọ Đông;21 Cẩm Bắc 11;Cẩm Lệ;Hòa Thọ Đông;16.016405029222369;108.19782097823918;2 tầng;BTCT;3;Tốt;72;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-21cambac11.jpg
Trường MN Hướng Dương CS I;27 Hà Tông Quyền;Cẩm Lệ;Khuê Trung;16.0222897537408;108.20642232227353;02 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-27hatongquyen.jpg
Trường Đại học Ngoại ngữ;131 Lương Nhữ Hộc;Cẩm Lệ;Khuê Trung;16.034518510770962;108.21131084422905;03 tầng;BTCT;2;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-131luongnhuhoc.jpg
Ttrường THCS @ THPT Hiển Nhân;271 Tố Hữu;Cẩm Lệ;Khuê Trung;16.03328863218676;108.21076543090761;03 tầng;BTCT;2;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-271tohuu.jpg
Trường Mầm Non Hướng Dương CS3;124 Nguyễn Phong Sắc:;Cẩm Lệ;Khuê Trung;16.02452689984606;108.21316575962463;02 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-124nguyenphongsac.jpg
Trường Tiểu học Diên Hồng;43 Đỗ Thúc Tịnh;Cẩm Lệ;Khuê Trung;16.026912933068374;108.20993367881273;02 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-43dothuctinh.jpg
Trường Mầm Non Hướng Dương CS2;158 Đỗ Thúc Tịnh;Cẩm Lệ;Khuê Trung;16.021743658697943;108.211865769922;02 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-158dothuctinh.jpg
Trường Tiểu Học Ngô Quyền;32 Lương Định Của;Cẩm Lệ;Khuê Trung;16.01630715824047;108.20859192427093;03 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-32luongdinhcua.jpg
Công an Phường Hoà Phát;74 Vũ Lăng;Cẩm Lệ;Hòa Phát;16.026297486771043;108.18745449900754;04 tầng;BTCT;1;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-74vulang.jpg
UBND phường Hòa An;01 Hòa An 6;Cẩm Lệ;Hòa An;16.04944298279118;108.17977882452386;02 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-01hoaan6.jpg
Chùa Huệ Quang;02 Bùi Giáng;Cẩm Lệ;Hòa An;16.047238802827586;108.17821973735671;01 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-02buigiang.jpg
Chung cư Phước Lý;Khu TĐC Phước Lý - Đinh Liệt;Cẩm Lệ;Hòa An;16.04458267332328;108.17582345997981;07 tầng;BTCT;2;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-khutaidinhcuphuocly.jpg
Chùa An Sơn;Tổ 71, Nhơn hòa 7;Cẩm Lệ;Hòa An;16.04633752402683;108.17346865895857;01 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-to71nhonhoa7.jpg
Trường TH Tôn Đức Thắng CS2;104 Nguyễn Công Hoan;Cẩm Lệ;Hòa An;16.05436725128649;108.1750967963681;02 tầng;BTCT;3;Tốt;120;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-104nguyenconghoan.jpg
Trường TH Tôn Đức Thắng CS1;Tổ 65, Đinh Liệt;Cẩm Lệ;Hòa An;16.042769542407104;108.17623718591412;03 tầng;BTCT;3;Tốt;350;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-to65dinhliet.jpg
Trường Cao đẳng Nghề Nguyễn Văn Trỗi;69 Đoàn Hữu Trưng;Cẩm Lệ;Hòa An;16.052330433995817;108.17872281704572;04 tầng;BTCT;2;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-69doanhuutrung.jpg
Trường Mầm non – Tiểu học – THCS Đức Trí;324 Phan Châu Trinh;Hải Châu;Bình Thuận;16.056852524403087;108.21866737533954;04 tầng;BTCT;2;Tốt;1000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-324phanchautrinh.jpg
Tổng Công ty cổ phần xây dựng điện Việt Nam;344 Phan Châu Trinh;Hải Châu;Bình Thuận;16.055193478572384;108.21870026214758;02 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-344phanchautrinh.jpg
Trường TH Tây Hồ;44 Hoàng Văn Thụ;Hải Châu;Phước Ninh;16.063266725785624;108.22106457024366;3 tầng;BTCT;1;Tốt;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-44hoangvanthu.jpg
Trường THCS Trưng Vương;88 Yên Bái;Hải Châu;Hải Châu I;16.067098827359654;108.22226326678378;3 tầng;BTCT;1;Tốt;1200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-88yenbai.jpg
Nhà sinh hoạt nhân dân khu vực Trung Tạm 2;01 Phạm Ngũ Lão;Hải Châu;Hải Châu II;16.067263938956977;108.21507794169842;2 tầng;BTCT;1;Tốt;10;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-01phamngulao.jpg
UBND Phường Hải Châu II;38 Triệu Nữ Vương;Hải Châu;Hải Châu II;16.066100471073295;108.21600447791529;4 tầng;BTCT;1;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-38trieunuvuong.jpg
Nhà sinh hoạt cộng đồng Nam Vinh;68a Triệu Nữ Vương;Hải Châu;Hải Châu II;16.06500556846816;108.21623381170347;2 tầng;BTCT;1;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-68atrieunuvuong.jpg
Trường MN Trí Nhân-CS2;296 Nhơn Hoà 5;Cẩm Lệ;Hòa An;16.046791456718914;108.17216520636818;02 tầng;BTCT;3;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-296nhonhoa5.jpg
Trường TH Lê Lai;118 Lê Lai;Hải Châu;Thạch Thang;16.075202944542774;108.21640161861333;04 tầng;BTCT;3;Tốt;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-118lelai.jpg
Trạm y tế phường Thuận Phước;10 Phan Kế Bính;Hải Châu;Thuận Phước;16.08239513426107;108.21958604466782;02 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-10phankebinh.jpg
Cảng vụ hàng hải Đà Nẵng;04 Đức Lợi 3;Hải Châu;Thuận Phước;16.084203120249935;108.22218666358805;4 tầng;BTCT;2;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-4ducloi3.jpg
Ban chỉ huy biên phòng Cửa khẩu cảng Đà Nẵng;06 Đức lợi 3;Hải Châu;Thuận Phước;16.083960987255487;108.22204874013183;3 tầng;BTCT;1;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-6ducloi3.jpg
Trường TH Võ Thị Sáu;01 Võ Thị Sáu;Hải Châu;Thuận Phước;16.086385658269325;108.21822505915874;3 tầng;BTCT;1;Tốt;250;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1vothisau.jpg
Khách sạn Thái Bình;51 Xuân Diệu;Hải Châu;Thuận Phước;16.087617212727935;108.22013348909724;5 tầng;BTCT;1;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-51xuandieu.jpg
Trạm biên phòng Cửa khẩu cảng sông Hàn;57 Xuân Diệu;Hải Châu;Thuận Phước;16.08827928989782;108.21978167822537;2 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-57xuandieu.jpg
Cơ quan điều tra hình sự khu vực II;61 Xuân Diệu;Hải Châu;Thuận Phước;16.088511368591536;108.21966956421191;2 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-61xuandieu.jpg
Khách sạn Night Sky;65 Xuân Diệu;Hải Châu;Thuận Phước;16.088757677920384;108.2195116514802;7 tầng;BTCT;;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-65xuandieu.jpg
Đội phản ứng nhanh cảnh sát 113;69 Xuân Diệu;Hải Châu;Thuận Phước;16.08895657044949;108.21940264013105;2 tầng;BTCT;;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-69xuandieu.jpg
Nhà sinh hoạt cộng đồng & khu vui chơi trẻ em phường Thuận Phước;97 Nguyễn Đức Cảnh;Hải Châu;Thuận Phước;16.089049440288;108.2185770307563;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-97nguyenduccanh.jpg
Trung tâm giáo xứ Ngọc Quang;01 Xuân Tâm;Hải Châu;Thuận Phước;16.089734314571817;108.21581187131433;2 tầng;BTCT;;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1xuantam.jpg
Apartment;03 Xuân Tâm;Hải Châu;Thuận Phước;16.08944893057619;108.2157901369662;5 tầng;BTCT;;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-3xuantam.jpg
Trung tâm Văn hóa phường Tân Chính;85 Hoàng Hoa Thám;Thanh Khê;Tân Chính;16.068380917516247;108.21012263319155;2 Tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-85hoanghoatham.jpg
Trường TH Trần Cao Vân - CS 2;70 Hoàng Hoa Thám;Thanh Khê;Tân Chính;16.068294308725964;108.20982652472586;2 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-70hoanghoatham.jpg
Trường TH Trần Cao Vân - CS 3;16 Hoàng Hoa Thám;Thanh Khê;Tân Chính;16.070330445646334;108.20936151013413;4 tầng;BTCT;3;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-16hoanghoatham.jpg
Trường THCS Lê Thánh Tôn;85 Hàn Mặc Tử;Hải Châu;Thuận Phước;16.085336444130654;108.21731498339186;3 tầng;BTCT;;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-85hanmactu.jpg
Trường MN Bình Minh;119 Huỳnh Lý;Hải Châu;Thuận Phước;16.087636009134677;108.21654290523296;3 tầng;BTCT;;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-119huynhly.jpg
Trường TH Đoàn Thị Điểm;05 Thanh Tân;Thanh Khê;Thanh Khê Đông;16.068769321717927;108.18509684283269;3 tầng;BTCT;2;Tốt;800;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-05thanhtan.jpg
Trường THCS Phan Đình Phùng;26 Thanh Tân;Thanh Khê;Thanh Khê Đông;16.06832992809106;108.18441046097581;3 tầng;BTCT;2;Tốt;600;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-26thanhtan.jpg
Trường CĐ Giao thông vận tải;50 Thanh Tân;Thanh Khê;Thanh Khê Đông;16.067972338779786;108.18610564221616;3 tầng;BTCT;3;Tốt;700;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-50thanhtan.jpg
Trường MN Tuổi Hoa;1 Phần lăng 14;Thanh Khê;Hòa Khê;16.05483644422304;108.18900748322163;3 tầng;BTCT;3;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1phanlang14.jpg
Nhà văn hoá Bình An;K4/1 Trần Đức Thảo;Hải Châu;Hòa Cường Nam;16.035116211442226;108.21528183187444;1 tầng;Xi măng;3;Tốt;70;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-K4.1tranducthao.jpg
Trường MN Anh Đào CS1;80 Nguyễn Sơn;Hải Châu;Hòa Cường Nam;16.030770903383225;108.22803443913921;3 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-80nguyenson.jpg
Trường MN Thủy Tiên;5 Võ Văn Tần;Thanh Khê;Chính Gián;16.066946492333187;108.2031210539834;2 tầng;BTCT;3;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-5vovantan.jpg
Trường Tiểu học Nguyễn Thái Học;177 Nguyễn Thiện Kế;Sơn Trà;An Hải Đông;16.05643498463341;108.24000522703217;3 tầng;BTCT;3;Tốt;350;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-177nguyenthienke.jpg
Trường MN Hoàng Cúc;7 An Hải Đông 1;Sơn Trà;An Hải Đông;16.058347426743136;108.24204906037224;3 tầng;BTCT;3;Tốt;80;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-7anhaidong1.ipg
Trường MN Mẫu Đơn(mới);Nguyễn Thị Thập;Thanh Khê;Thanh Khê Tây;16.072617922905113;108.17511857382928;3 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nguyenthithap.jpg
Nhà sinh hoạt KDC 4B;23 Nguyễn Văn Huề;Thanh Khê;Thanh Khê Tây;16.0689749086922;108.17626438098489;2 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-23nguyenvanhue.jpg
Trường THCS Đỗ Đăng Tuyển;182 Yên khê 1;Thanh Khê;Thanh Khê Tây;16.071179427977473;108.17700303084332;3 tầng;BTCT;3;Tốt;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-182yenkhe1.jpg
Nhà sinh hoạt KDC 4A;K60/H61/4 Mẹ Nhu;Thanh Khê;Thanh Khê Tây;16.066633624278115;108.17775566531625;1 tầng;BTCT;4;Tốt;80;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-k60.h61.4menhu.jpg
Trường CĐ nghề Đà Nẵng;99 Tô Hiến Thành;Sơn Trà;Phước Mỹ;16.05969474041993;108.24351248773638;5 tầng;BTCT;2;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-99tohienthanh.jpg
Trường THCS Phan Bội Châu;01 Thạch Lam;Sơn Trà;Phước Mỹ;16.05861200186111;108.24399692269996;3 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1thachlam.jpg
Trường TH Lương Thế Vinh;97 Hoàng Bích Sơn;Sơn Trà;An Hải Bắc;16.0726071037946;108.24151805512234;2 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-97luongthevinh.jpg
Trường TH Hai Bà Trưng CS1;01 Nại Thịnh 7;Sơn Trà;Nại Hiên Đông;16.087517786949142;108.23202433734718;3 tầng;BTCT;3;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1naithinh7.jpg
Nhà ở xã hội Nest Home;Chu Huy Mân;Sơn Trà;Mân Thái;16.08971951288747;108.24075626361993;9 tầng;BTCT;2;Tốt;700;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-chuhuyman.jpg
Đội Cảnh Sát PCCC và CNCH - Công An Quận Sơn Trà;53 Thành Vinh 2;Sơn Trà;Thọ Quang;16.104703286059685;108.25426618197172;2 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-53thanhvinh2.jpg
Trường TH Lê Bá Trinh;96 An Dương Vương;Ngũ Hành Sơn;Mỹ An;16.039826440667117;108.2388444966126;02 tầng;BTCT;4;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-96anduongvuong.jpg
Chung Cư Nam Cầu Tuyên Sơn;Doãn Uẩn;Ngũ Hành Sơn;Khuê Mỹ;16.035425177549193;108.24238058542782;7 tầng;BTCT;;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-doanuan.jpg
Ký Túc Xá Sinh Viên;Doãn Uẩn;Ngũ Hành Sơn;Khuê Mỹ;16.03464989272794;108.24305469844082;9 tầng;BTCT;;Tốt;1000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-doanuan.jpg(383)
Trường MN Bạch Dương;25 Dương Thị Xuân Quý;Ngũ Hành Sơn;Mỹ An;16.042212026334663;108.243849895571;02 tầng;BTCT;4;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-25duongthixuanquy.jpg
Trường MN Pikachu;222 Võ Như Hưng;Ngũ Hành Sơn;Mỹ An;16.045010114910294;108.23821105336373;02 tầng;BTCT;4;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-222vonhuhung.jpg
Trường TH Lê Lai CS2;An Thượng 27;Ngũ Hành Sơn;Mỹ An;16.054256630777456;108.24518933988938;02 tầng;BTCT;4;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-anthuong27.jpg
Thư Viện Thân Thiện Với Trẻ Song Gan;K90/2 Phan Bá Phiến;Sơn Trà;Thọ Quang;16.092937762589116;108.24683605454933;2 tầng;BTCT;2;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-K90.2phanbaphien.jpg
Trường THCS Hoàng Sa;7 Vũ Tông Phan;Sơn Trà;Thọ Quang;16.09299590799092;108.24693332301594;3 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-7vutongphan.jpg
Nhà sinh hoạt cộng đồng Mỹ Đa Tây 3;10 Mỹ Đa Tây 9;Ngũ Hành Sơn;Khuê Mỹ;16.035472062486797;108.24339211179334;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-10mydatay9.jpg
Nhà sinh hoạt cộng đồng Đa Mặn 3;24 Đa Mặn 5;Ngũ Hành Sơn;Khuê Mỹ;16.03075693642122;108.2460552041955;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-24daman5.jpg
Trường HermannGmeiner;15 Nguyễn Đình Chiểu;Ngũ Hành Sơn;Khuê Mỹ;16.029894659826063;108.24600748935576;2 tầng;BTCT;;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-15nguyendinhchieu.jpg
Nhà sinh hoạt cộng đồng Đa Mặn 2A;1 Mặc Cửu;Ngũ Hành Sơn;Khuê Mỹ;16.02557739497956;108.24081402715932;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1maccuu.jpg
Trung Tâm VHTT Phường Khuê Mỹ;Đường K20;Ngũ Hành Sơn;Khuê Mỹ;16.02331218024608;108.2472695050198;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-k20.jpg
UBND Phường Khuê Mỹ;42 K20;Ngũ Hành Sơn;Khuê Mỹ;16.024263478657687;108.24771668116179;2 tầng;BTCT;;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-42k20.jpg
Nhà sinh hoạt cộng đồng Đa Mặn 8A;23 Đa Mặn 3;Ngũ Hành Sơn;Khuê Mỹ;16.020678396032533;108.25056352328515;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-23daman3.jpg
Nhà sinh hoạt cộng đồng Mỹ Đa Đông 1;33 Trần Văn Thành;Ngũ Hành Sơn;Khuê Mỹ;16.039464439943394;108.24802163415902;1 tầng;BTCT;;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-33tranvanthanh.jpg
Trung tâm Cấp Cứu 115;Thanh Tịnh;Liên Chiểu;Hòa Minh;16.061712620601465;108.17304925360011;2 tầng;BTCT;3;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thanhtinh.jpg
Trung tâm Bồi dưỡng nghiệp vụ Bưu Chính Viễn Thông;Nguyễn Sinh Sắc;Liên Chiểu;Hòa Minh;16.069096138549803;108.15828151654107;5 tầng;BTCT;3;Tốt;2000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nguyensinhsac.jpg
KTX phía Tây Thành Phố;8 Hà Văn Tính;Liên Chiểu;Hòa Khánh Nam;16.068137096906913;108.154343600301;5 tầng;BTCT;3;Tốt;1500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-8havantinh.jpg
Trường THCS Lương Thế Vinh;86 Đặng Huy Trứ;Liên Chiểu;Hòa Minh;16.080768687241903;108.15899883978669;2 tầng;BTCT;3;Tốt;1000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-86danghuytru.jpg
Trường TH Võ Thị Sáu;2 Trần Đình Tri;Liên Chiểu;Hòa Minh;16.080571201485416;108.15504131532887;3 tầng;BTCT;3;Tốt;800;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-2trandinhtri.jpg
Trung tâm chăm sóc và giáo dục mầm non One Sky Đà Nẵng;02 Lê Công Kiều;Liên Chiểu;Hòa Khánh Bắc;16.077613957261942;108.12157991436182;1 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-2lecongkieu.jpg
Trường mẫu giáo Sơn Ca;01 Thành Vinh 7;Liên Chiểu;Hòa Khánh Bắc;16.075797251637027;108.12769521668378;2 tầng;BTCT;3;Tốt;800;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-1thanhvinh7.jpg
Trường mẫu giáo Họa Mi;33 Đồng Kè;Liên Chiểu;Hòa Khánh Bắc;16.0717195083622;108.1474821230234;2 tầng;BTCT;3;Tốt;1000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-33dongke.jpg
Nhà sinh hoạt cộng đồng khu vực Chơn Tâm 1B5;Mộc Bài 1;Liên Chiểu;Hòa Khánh Nam;16.06996948197161;108.15539157405817;1 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mocbai1.jpg
Đại học Duy Tân;120 Hoàng Minh Thảo;Liên Chiểu;Hòa Khánh Nam;16.049327350052973;108.16010442758511;5 tầng;BTCT;3;Tốt;1500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-hoangminhthao.jpg
Tiểu đoàn Đặc công 409;Trần Đức;Liên Chiểu;Hòa Khánh Nam;16.04942796976077;108.15134595017123;2 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-tranduc.jpg
Trường mầm non 1-6 cơ sở Khánh Sơn;Huỳnh Thị Bảo Hòa;Liên Chiểu;Hòa Khánh Nam;16.051435019841374;108.1467209400222;2 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-huynhthibaohoa.jog
Trường THCS Lê Anh Xuân;Xuân Thiều 6;Liên Chiểu;Hòa Hiệp Nam;16.124354831946178;108.11723517429408;2 tầng;BTCT;3;Tốt;700;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-xuanthieu6.jpg
Trường MN Hướng Dương 2;Kim Liên 2;Liên Chiểu;Hòa Hiệp Bắc;16.127802310249344;108.11372649342002;2 tầng;BTCT;2;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-kimlien2.jpg
Công ty cổ phần cao su Đà Nẵng;Tạ Quang Bửu;Liên Chiểu;Hòa Hiệp Bắc;16.127591846998715;108.10942440766472;3 tầng;BTCT;2;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-taquangbuu.jpg
Công ty cổ phần thép Đà Nẵng;Tạ Quang Bửu;Liên Chiểu;Hòa Hiệp Bắc;16.12822323329372;108.12157392228461;3 tầng;BTCT;2;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-taquangbuu2.jpg
Trường mầm non Búp Sen Vàng;37 Nguyễn Phước Chu;Liên Chiểu;Hòa Hiệp Bắc;16.12833750268437;108.12095737264765;2 tầng;BTCT;;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-37nguyenphuocchu.jpg
Trạm y tế phường Hòa Hiệp Bắc;23B Nguyễn Phước Chu;Liên Chiểu;Hòa Hiệp Bắc;16.127541021185824;108.12072147692155;2 tầng;BTCT;2;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-23bnguyenphuocchu.jpg
Trường Tiểu học Trần Bình Trọng;18 Nguyễn Phước Chu;Liên Chiểu;Hòa Hiệp Bắc;16.134426862063798;108.11992760097219;3 tầng;BTCT;2;Tốt;1500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-18nguyenphuocchu.jpg
Trường Tiểu học Hải Vân;256 Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.139857779248576;108.12004812726451;3 tầng;BTCT;2;Tốt;1600;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-256nguyenvancu.jpg
Nhà sinh hoạt cộng đồng KDC số 06;360 Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.145971177878447;108.12342812776826;1 tầng;BTCT;2;Tốt;20;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-360nguyenvancu.jpg
Chùa Nam Hải;Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.140641196280047;108.11968718024215;1 tầng;BTCT;2;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nguyenvancu.jpg
Trạm cảnh sát giao thông cửa ô Hòa Hiệp;299 Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.135255491417993;108.11733583634508;2 tầng;BTCT;2;Tốt;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-299nguyenvancu.jpg
Trường THCS Nguyễn Thái Bình;K177 Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.13596669887584;108.11739359219155;3 tầng;BTCT;2;Tốt;1500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-k177nguyenvancu.jpg
Trường mầm non Hướng Dương;K177/42 Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.135372985004462;108.11942948497516;2 tầng;BTCT;2;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-k177.42nguyenvancu.jpg
Chùa Kim Quang;169 Nguyễn Văn Cừ;Liên Chiểu;Hòa Hiệp Bắc;16.1308750162957;108.11917478832667;1 tầng;BTCT;2;Tốt;280;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-169nguyenvancu.jpg
