Tên;Địa chỉ;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Chiều cao;Kết cấu;Cấp công trình;Chất lượng;Sức chứa;Hình ảnh
Trạm Y tế xã Hoà Sơn;đường 602;Hòa Vang;Hòa Sơn ;16.07310462666025;108.11084594226193;;Bê tông cốt thép;Cấp 4;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-tytxahoason.jpg
UBND xã Hòa Sơn;đường 602;Hòa Vang;Hòa Sơn;16.068343995139003;108.10670399107039;;Bê tông cốt thép;Cấp 4;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-xahoason.jpg
Cộng đoàn Phao lô Phú Thượng;đường AH1;Hòa Vang;Hòa Sơn;16.050374573471938;108.10275588205916;;Bê tông cốt thép;Cấp 4;Đảm bảo;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-phaoliphutuong.jpg
Công an xã Hòa Sơn;đường Hoàng Phê;Hòa Vang;Hòa Sơn;16.0623086610203;108.0999523829161;;Bê tông cốt thép;Cấp 4;Đảm bảo;301;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-hoangphe.jpg
Trường Tiểu học Số 1 Hoà Sơn;đường AH1;Hòa Vang;hòa Sơn;16.042883964255452;108.10528895817697;;Bê tông cốt thép;Cấp 4;Đảm bảo;700;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-ths1hoason.jpg
Trường TH số 1 Hoà Nhơn (khu vực Phú Hòa);thôn Phú Hòa;Hòa Vang;hòa Nhơn;15.996242025867105;108.14409499056637;2 tầng;BTCT;3;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thso1hoaphu.jpg
Trường THCS Phạm Văn Đồng;thôn phú hòa 2, tổ 2;Hòa Vang;hòa Nhơn;15.997184610332814;108.14188629112016;2 tầng;BTCT;3;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thcsphamvandongph2.jpg
Trường tiểu học số 1 Hoà Nhơn;Thôn Phước Thái;Hòa Vang;hòa Nhơn;16.006621001288295;108.13352197408676;2 tầng;BTCT;3;Đảm bảo;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thso1hoanhon.jpg
Trường Mầm non Hòa Nhơn;thôn Phước Thái;Hòa Vang;hòa Nhơn;16.009115958586335;108.12732196412981;2 tầng;BTCT;3;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mnhoanhon.jpg
Trường Tiểu học Số 2 Hòa Nhơn, Cơ sở 2 Phụ;khu vực Phước Hưng;Hòa Vang;hòa Nhơn;16.014781035482883;108.11885599046946;2 tầng;BTCT;3;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thso2hoaphuoccs2.jpg
Trường Tiểu học Số 2 Hòa Nhơn;Thôn Ninh An ;Hòa Vang;hòa Nhơn;16.006171467068473;108.11290997727008;2 tầng;BTCT;3;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-so2hoanhontna.jpg
Công an xã Hòa Nhơn;đường Quảng Xuân;Hòa Vang;Hòa Nhơn;16.000138018280268;108.14537800848484;2 tầng;BTCT;3;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-caxhoanhon.jpg
Trường Tiểu học Lâm Quang Thự;đường Quảng Xuân;Hòa Vang;Hòa Phong;15.997404009103775;108.13742601312697;2 tầng;BTCT;Cấp 3;Đảm bảo;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thlamquangthu.jpg
Trường TH Lâm Quang Thự;đường 604, thôn An Tân;Hòa Vang;Hòa Phong;15.999565031379461;108.12041603028774;2 tầng;BTCT;Cấp 3;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-604lamquangthu.jpg
Trường Mầm non Hòa Phong;Túy Loan Đông 2;Hòa Vang;Hòa Phong;15.992536973208189;108.13736801035702;2 tầng;BTCT;Cấp 3;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mnhoaphong.jpg
TRƯỜNG MẦM NON HÒA PHONG (DƯƠNG LÂM 2);thôn An Tân;Hòa Vang;Hòa Phong;15.995488069362292;108.12730630857581;1 tầng;BTCT;Cấp 3;Đảm bảo;30;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mnhoanhoncna.jpg
Lớp mầm non số 2 Hòa Phong;Thôn Cẩm Toại Tây;Hòa Vang;Hòa Phong;15.980051038786769;108.12686800025403;2 tầng;BTCT;Cấp 3;Đảm bảo;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-hoaphongcamhoaitay.jpg
Trường THPT Ông Ích Khiêm;đường QL14G (TL 604);Hòa Vang;Hòa Phong;15.982834618023206;108.13513188903143;2 tầng;BTCT;Cấp 3;Đảm bảo;1500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thptongichkhiem.jpg
Trường THCS Trần Quốc Tuấn;đường QL14G (TL 604);Hòa Vang;Hòa Phong;15.982936763183355;108.13608849285072;2 tầng;BTCT;Cấp 3;Đảm bảo;1000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thcstranquoctuan.jpg
Trạm Y tế xã Hòa Phú;Thôn Đông Lâm;Hòa Vang;Hòa Phú;15.984925811660776;108.07387979971985;2 tầng;BTCT;Cấp 3;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-tytxahoaphu.jpg
Trường TH Hòa Phú (điểm trường Hội Phước);xã Hội Phước;Hòa Vang;Hòa Phú;15.99840497598052;108.06975999847054;2 tầng;BTCT;Cấp 3;Đảm bảo;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-dthoiphuochoaphu.jpg
Trường THCS Ông Ích Đường;Thôn Đồng Lâm ;Hòa Vang;hòa Phú;15.985842011868954;108.07419503107667;;;;;;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thcsongichduong.jpg
Trạm Y tế xã Hòa Phước;đường QL1A;Hòa Vang;Hòa Phước;15.956569819744264;108.21609254594392;2 tầng;BTCT;;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-tyxahoaphuoc.jpg
Tiểu học Số 2 Hòa Phước;Thôn Nhơn Thọ 1;Hòa Vang;Hòa Phước;15.958476020023227;108.21336303837597;2 tầng;BTCT;;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thso2hoakhuong.jpg
Trường Mầm non Hòa Phước - khu vực Nhơn Thọ 1;đường số 2 Nhơn Thọ 2;Hòa Vang;Hòa Phước;15.957703962922096;108.21310697123408;2 tầng;BTCT;;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mnhophuockv1.jpg
UBND xã Hòa Phước;đường QL1A;Hòa Vang;Hòa Phước;15.958654973655939;108.21506297215819;2 tầng;BTCT;;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-ubxhoaphuoc.jpg
Trường THCS Nguyễn Văn Linh;Thôn Nhơn Thọ 1;Hòa Vang;Hòa Phước;15.95837501809001;108.21224103681743;2 tầng;BTCT;;Đảm bảo;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thcsnguyenvanlinh.jpg
Trường THCS Trần Hưng Đạo;228 Trưng Nữ Vương;Hải Châu;Bình Thuận;16.055541979148984;108.22009898722172;04 tầng;BTCT;2;Tốt;800;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-228trungnuvuong.jpg
Trường THCS Tây Sơn;149 Núi Thành;Hải Châu;hòa Cường Bắc;16.047718981280923;108.2210479862988;3 tầng, 15m;Bê tông;2;Tốt;1000;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-149nuithanh.jpg
Trường Mầm Non Tuổi Hoa;đường Phú Thạnh 8;Liên Chiểu;hòa Minh;16.070934003219008;108.15794298425317;3 tầng;"BTCT, mái
 BTCT";3;Đảm bảo;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-phuthanh8.jpg
Trường THCS Đàm Quang Trung;Lô A2 - 2, đường A04, Khu đô thị Golden Hills;Liên Chiểu;hòa Hiệp Nam;16.102345017716289;108.11702102422714;2 tầng;BTCT, mái BTCT;3;Đảm bảo;800;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-loa2duonga04.jpg
Chùa Quán Thế Âm;48 Sư Vạn Hạnh;Hòa Vang;Hòa Hải ;15.998736983165145;108.25520801357925;2 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;1;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-48suvanhanh.jpg
Trường Mầm non Ngọc Lan;Đường Ấp Bắc, Khu phố chợ Hòa Hải;Ngũ Hành Sơn;Hòa Hải;15.99341900087893;108.25752703472972;3 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;350;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-ngoclanapbac.jpg
Trường Mầm non Hoàng Lan;đường Đông Hải 1;Ngũ Hành Sơn;Hòa Hải;15.992869986221194;108.26773803681135;2 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;135;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-hoanganhdonghai1.jpg
Trường Mầm non Tân Trà;T70 Tân Trà;Ngũ Hành Sơn;Hòa Hải;15.984556442994771;108.27234626806394;2 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-t70tantra.jpg
Trường mầm non Ngọc Lan;28 Nguyễn Minh Châu;Ngũ Hành Sơn;Hòa Hải;15.979198012501001;108.25175601057708;3 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;350;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-28nguyenminhchau.jpg
Trường tiểu học Nguyễn Duy Trinh;12 Chu Cẩm Phong;Ngũ Hành Sơn;Hòa Hải;16.013784843789953;108.25181728932787;2 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-chucamphong.jpg
Trường Tiểu học Lê Văn Hiến;đương Huỳnh Văn Nghệ;Ngũ Hành Sơn;Hòa Hải;15.982391472700147;108.2499617760373;3 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-thlevanhien.jpg
Chùa Linh Ứng;đường Hoàng Sa;Sơn Trà;Thọ Quang;16.099955001845956;108.27966397628188;;;;;;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-chualinhung.jpg
Trường Trần Quang Diệu;4 Trần Hoành;Ngũ Hành Sơn;Khuyê Mỹ;16.025808015838265;108.24830702506006;2;"Bê tông cốt
 thép";;Đảm bảo;300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-4tranhoanh.jpg
Trường mầm non Sen Hồng;Đường Trần Hoành;Ngũ Hành Sơn;Khuyê Mỹ;16.025908011943102;108.24734000489116;3;"Bê tông cốt
 thép";;Đảm bảo;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mntranhoanh.jpg
Khoa Giáo dục Quốc phòng và An ninh, Đại học Đà Nẵng;Khu đô thị Đại Học Đà Nẵng;Ngũ Hành Sơn;Hòa Hải;15.97494077154129;108.25039446074861;4;Bê tông cốt thép;;Đảm bảo;1;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-khoaquocphong.jpg
Trường Đại học Công nghệ Thông tin và Truyền thông Việt - Hàn, Đại học Đà Nẵng;470 Trần Đại Nghĩa;Ngũ Hành Sơn;Hòa Hải;15.975061040371656;108.25360698625445;4;Bê tông cốt thép;;Đảm bảo;550;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-470trandainghia.jpg
Trường THCS Nguyễn Bỉnh Khiêm;469 Đ. Mai Đăng Chơn;Ngũ Hành Sơn;hòa Quý;15.983555009588599;108.23762403801084;2;Bê tông cốt thép;;Đảm bảo;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-304maidangchon.jpg
Trường TH Tô Hiến Thành;Tổ 12 đường Bình Kỳ 2;Ngũ Hành Sơn;Hòa Quý;15.99509132562478;108.24035943754751;5tầng;BTCT;II;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-to12binhky2.jpg
Trường Tiểu học Phạm Hồng Thái;461 Mai Đăng Chơn;Ngũ Hành Sơn;Hòa Quý;15.984222963452339;108.23875903151929;2;"Bê tông cốt
 thép";;Đảm bảo;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-461maidangchon.jpg
Trường THPT Võ Chí Công;93 Cao Hồng Lãnh;Ngũ Hành Sơn;hòa Quý;15.99193699657917;108.23386701755226;2;"Bê tông cốt
 thép";;Đảm bảo;600;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-93caohonglanh.jpg
Trường mầm non Hoàng Anh;22 Phan Tốn;Ngũ Hành Sơn;hòa Quý;15.984380962327123;108.23651201091707;2;"Bê tông cốt
 thép";;Đảm bảo;250;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-22phanton.jpg
Trường Đại học Kỹ thuật Y - Dược Đà Nẵng (Cơ sở 2);đường Nam Kỳ Khởi Nghĩa;Ngũ Hành Sơn;Hòa Hải;15.978044997900724;108.24734603986144;4;"Bê tông cốt
 thép";;Đảm bảo;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-kythuatyduoccs2.jpg
Trường Mầm Non Vàng Anh;Hợp tác xã may mặc Hòa Quý, đường Mai Đăng Chơn;Ngũ Hành Sơn;Hòa Quý;15.967862863228017;108.23303463242715;2;"Bê tông cốt
 thép";;Đảm bảo;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mnvanganh.jpg
