Tên;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Hình ảnh
Hồ Thạc Gián;Thanh Khê;Thạc Gián;16.063622144552408;108.2103417159408;https://congdulieu.vn/cdldnfiles/thapcanhbaongap/TCBN-hothacgian.jpg
Tổ 15, Đường Đà Sơn 2 (Tổ 15, Đường Đà Sơn 2, Hòa Khánh Nam);Liên Chiểu;Hòa Khánh Nam;16.058888984626485;108.15333299614316;https://congdulieu.vn/cdldnfiles/thapcanhbaongap/TCBN-dason.jpg
Phường Hòa Khánh Nam (Kiệt 161 Mẹ Suốt, Tổ 37, P. Hòa Khánh Nam, Q. Liên Chiểu);Cẩm Lệ;Hòa Khánh Nam;16.056228674317275;108.15914526730796;https://congdulieu.vn/cdldnfiles/thapcanhbaongap/TCBN-161mesuot.jpg
Tổ 26, phường Thanh Khê Tây;Thanh Khê;Thanh Khê Tây;16.06810724070144;108.17538393532736;https://congdulieu.vn/cdldnfiles/thapcanhbaongap/TCBN-thanhkhetay.jpg
